"gameNumber","dimension","nThreads","initTime","resolutionTime"
33,30,3,1.318540,0.108682
34,30,3,1.010465,0.087150
35,30,3,0.984030,0.096894
36,30,3,0.839277,0.084810
37,30,3,1.036789,0.128038
38,30,3,1.073012,0.111568
39,30,3,2.069872,0.166374
40,40,3,76.844127,6.065232
41,40,3,19.307774,2.508738
42,40,3,40.343461,3.245267
43,40,3,38.063060,3.916448
44,40,3,20.588298,1.762666
45,40,3,39.766827,4.020870
46,40,3,29.434041,2.701432
47,40,3,21.490454,2.207485
48,40,3,36.018221,3.153484
49,40,3,85.811524,6.777948
0,5,3,0.000796,0.000534
1,5,3,0.000449,0.000357
2,5,3,0.003579,0.000899
3,5,3,0.000561,0.000451
4,5,3,0.001022,0.000914
5,5,3,0.000613,0.002612
6,5,3,0.000861,0.001236
7,5,3,0.000782,0.001408
8,5,3,0.001086,0.002104
9,5,3,0.000500,0.001013
10,10,3,0.620932,0.001280
11,10,3,0.000815,0.000826
12,10,3,0.000446,0.000298
13,10,3,0.000546,0.000381
14,10,3,0.311988,0.000449
15,10,3,0.001164,0.000388
16,10,3,0.000540,0.000395
17,10,3,0.006687,0.000367
18,10,3,0.000571,0.000323
19,10,3,0.000875,0.000264
20,20,3,0.017177,0.002669
21,20,3,0.026179,0.005899
22,20,3,0.009347,0.002617
23,20,3,0.035179,0.005369
24,20,3,0.024808,0.002873
25,20,3,0.017581,0.002708
26,20,3,0.017149,0.002880
27,20,3,0.025945,0.004001
28,20,3,0.032145,0.006306
29,20,3,0.025794,0.004164
30,30,3,1.303815,0.102101
31,30,3,1.307093,0.190169
32,30,3,0.639232,0.062209
33,30,3,1.309278,0.107131
34,30,3,0.990053,0.088735
35,30,3,0.960991,0.093322
36,30,3,0.822267,0.088832
37,30,3,1.029364,0.126244
38,30,3,1.063275,0.106573
39,30,3,2.004243,0.148887
40,40,3,76.292565,5.697807
41,40,3,19.251656,2.352487
42,40,3,40.747995,3.187231
43,40,3,38.226960,3.878668
44,40,3,20.540394,1.762897
45,40,3,39.637050,4.067690
46,40,3,29.368280,2.668287
47,40,3,21.530168,2.387448
48,40,3,36.138249,3.120128
49,40,3,85.609268,7.142294
0,5,3,0.000870,0.000307
1,5,3,0.000619,0.000164
2,5,3,0.000221,0.000133
3,5,3,0.000118,0.000135
4,5,3,0.000171,0.000126
5,5,3,0.000181,0.000181
6,5,3,0.000131,0.001794
7,5,3,0.000267,0.002440
8,5,3,0.000271,0.000813
9,5,3,0.000264,0.000163
10,10,3,0.411625,0.000383
11,10,3,0.000687,0.000830
12,10,3,0.312306,0.000353
13,10,3,0.000845,0.000292
14,10,3,0.000608,0.000394
15,10,3,0.001307,0.000486
16,10,3,0.000614,0.000318
17,10,3,0.003754,0.000346
18,10,3,0.000855,0.000373
19,10,3,0.000381,0.000206
20,20,3,0.017051,0.002669
21,20,3,0.025498,0.004468
22,20,3,0.007523,0.001817
23,20,3,0.034505,0.004926
24,20,3,0.027611,0.003152
25,20,3,0.016106,0.002706
26,20,3,0.016492,0.002891
27,20,3,0.024699,0.004271
28,20,3,0.030194,0.006217
29,20,3,0.025575,0.006409
30,30,3,1.330343,0.098970
31,30,3,1.308349,0.200242
32,30,3,0.635653,0.062564
33,30,3,1.295164,0.110186
34,30,3,0.996115,0.085940
35,30,3,0.966363,0.091548
36,30,3,0.830169,0.090227
37,30,3,1.036285,0.123507
38,30,3,1.022584,0.110630
39,30,3,2.005744,0.152037
40,40,3,76.037920,5.833588
41,40,3,19.468386,2.514904
42,40,3,40.363729,3.279493
43,40,3,37.980400,3.922109
44,40,3,20.850536,1.792335
45,40,3,40.118067,3.739836
46,40,3,29.735544,2.643331
47,40,3,21.213813,2.391048
48,40,3,36.104678,3.119934
49,40,3,85.653187,6.763181
0,5,3,0.000930,0.000977
1,5,3,0.000517,0.000838
